,이름,도로명주소,위도,경도
0,상인초등학교,경기도 부천시 도약로 61,37.51273671,126.7564812
1,상동초등학교,경기도 부천시 부흥로 70,37.49687804,126.750145
2,원미초등학교,경기도 부천시 부흥로 423,37.48932141,126.7874697
3,부천동초등학교,경기도 부천시 지봉로51번길 22,37.48808766,126.8042903
4,상지초등학교,경기도 부천시 장말로 189,37.49360921,126.7635261
5,부광초등학교,경기도 부천시 석천로209번길 40,37.50685895,126.7620722
6,옥산초등학교,경기도 부천시 길주로 327,37.50314461,126.779464
7,성곡초등학교,경기도 부천시 오정구 여월로 75,37.51296385,126.8056436
8,고강초등학교,경기도 부천시 역곡로482번길 57,37.52674884,126.8201717
9,부천덕산초등학교,경기도 부천시 오정로252번길 91,37.53000945,126.7906706
10,원종초등학교,경기도 부천시 삼작로410번길 38,37.51813361,126.8065009
11,솔안초등학교,경기도 부천시 경인로1185번길 27,37.4856524,126.7509585
12,부원초등학교,경기도 부천시 호현로447번길 14,37.47819553,126.7914321
13,부천부안초등학교,경기도 부천시 소사구 경인로484번길 75,37.48009255,126.8119649
14,성주초등학교,경기도 부천시 소사구 성주로 118,37.47860961,126.7691474
15,상미초등학교,경기도 부천시 상이로 64,37.49474229,126.7445553
16,상원초등학교,경기도 부천시 부흥로 93,37.49819639,126.7533673
17,부천역곡초등학교,경기도 부천시 역곡로65번길 12(역곡동),37.49079242,126.8074778
18,도당초등학교,경기도 부천시 삼작로268번길 21,37.51951631,126.7919242
19,부천신흥초등학교,경기도 부천시 길주로 391,37.5037875,126.7858841
20,부인초등학교,경기도 부천시 신상로 16,37.48980258,126.7487452
21,송내초등학교,경기도 부천시 석천로 27,37.49057152,126.7591783
22,약대초등학교,경기도 부천시 수도로66번길 14,37.51348639,126.7726546
23,부천초등학교,경기도 부천시 원미구 평천로 670(약대동),37.51416824,126.764863
24,동곡초등학교,경기도 부천시 안곡로 248,37.49056826,126.8169705
25,부일초등학교,경기도 부천시 원미로182번길 31,37.49850436,126.7946794
26,부천북초등학교,경기도 부천시 원미구 원미로131번길 35,37.49366102,126.7881525
27,부천서초등학교,경기도 부천시 부일로330번길 30,37.4876468,126.7656999
28,부천중원초등학교,경기도 부천시 원미구 석천로 273,37.51207048,126.7637974
29,부천부흥초등학교,경기도 부천시 계남로 154,37.5075617,126.7663647
30,중흥초등학교,경기도 부천시 계남로 214,37.50670279,126.7732296
31,부천중앙초등학교,경기도 부천시 옥산로 30,37.49649802,126.7818244
32,신도초등학교,경기도 부천시 부흥로 137,37.49782975,126.7581224
33,부명초등학교,경기도 부천시 조마루로 200,37.49781107,126.765227
34,계남초등학교,경기도 부천시 조마루로 255,37.49900744,126.7721163
35,부천부곡초등학교,경기도 부천시 부흥로272번길 31,37.4940837,126.7731935
36,부천수주초등학교,경기도 부천시 고강로 99,37.53119011,126.8150836
37,고리울초등학교,경기도 부천시 고리울로 93,37.52727514,126.8270819
38,부천삼정초등학교,경기도 부천시 오정구 중동로 436,37.51891902,126.7707913
39,부천여월초등학교,경기도 부천시 성곡로63번길 23,37.51812066,126.7966901
40,부천대명초등학교,경기도 부천시 성오로 160,37.52825573,126.7973532
41,부천원일초등학교,경기도 부천시 소사로819번길 46,37.53028913,126.8028233
42,오정초등학교,경기도 부천시 소사로794번길 48,37.52717118,126.8075377
43,까치울초등학교,경기도 부천시 역곡로324번길 14,37.51375276,126.814168
44,부천송일초등학교,경기도 부천시 경인로60번길 19,37.48293104,126.7625338
45,범박초등학교,경기도 부천시 범박로 1,37.47028206,126.8113198
46,창영초등학교,경기도 부천시 은성로 109-26,37.47517479,126.804885
47,소사초등학교,경기도 부천시 은성로 58,37.47360683,126.7973336
48,복사초등학교,경기도 부천시 소사로 96,37.46710109,126.7991925
49,부천남초등학교,경기도 부천시 성주로270번길 16-1,37.48140527,126.7826249
50,도원초등학교,경기도 부천시 소사구 마니로 13,37.47707381,126.7729625
51,부천양지초등학교,경기도 부천시 안곡로 130,37.48058185,126.8155119
52,부천일신초등학교,경기도 부천시 범안로96번길 26,37.47357381,126.8070034
53,소일초등학교,경기도 부천시 소사로102번길 78,37.46920297,126.8025316
54,부천덕산초등학교대장분교장,경기도 부천시 대장로 92,37.54221655,126.7911549
55,심곡초등학교,경기도 부천시 장말로 309,37.49194919,126.7764042
56,중동초등학교,경기도 부천시 심중로75번길 37,37.4900314,126.7694207
57,심원초등학교,경기도 부천시 옥산로 66,37.49943267,126.781208
58,석천초등학교,경기도 부천시 계남로 29,37.51052059,126.7523846
59,상일초등학교,경기도 부천시 조마루로 57,37.50172062,126.7505151
60,경기예술고등학교,경기도 부천시 석천로209번길 37,37.50608221,126.7618196
61,부천동중학교,경기도 부천시 경인로484번길 36,37.48075804,126.8101605
62,부천동여자중학교,경기도 부천시 경인로484번길 36,37.48075804,126.8101605
63,부명중학교,경기도 부천시 원미구 조마루로 182,37.49794858,126.764151
